Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	stringsAsFactor
TCGA-55-7816-01A	0.0248701719805325	0	0.00347941244033004	0.0737152940915609	0	0.129713349108541	0.013455865553723	0	0.00291840917811068	0	0.0219630197166625	0	0.243760053107107	0	0.0721963999036686	0.37400887229664	0	0	0.0399191526231239	0	0	0	0.02	0.271486679277689	0.976243550031748	FALSE
TCGA-55-6978-01A	0.0136549297049158	0	0.000802518183495253	0.150398542955763	0	0.237051397276431	0.0287433334117189	0	0	0	0.0407780508973848	0.0166308620049553	0.00720959925133698	0.0586094215548014	0.174627934012187	0.202989336032283	0	0.00476267193826283	0.0637414027764642	0	0	0	0.02	0.22386303459039	1.00515526371669	FALSE
TCGA-44-6775-01A	0.142957798502754	0	0.0373843142710842	0	0	0.173693474834234	0	0.00649479141973836	0.0107227105617945	0	0	0.0502539472444372	0.0435215324710899	0.202927013352146	0.0105398456174545	0.180988074163501	0.0397887963853351	0.0226788321660019	0.0722849526678679	0	0.0045419542259557	0.00122196211660557	0.01	0.291898491390725	0.96321259208133	FALSE
TCGA-49-4506-01A	0.0547712339773727	0.021602252057251	0	0.319130518012373	0	0.0894353946145635	0.0654165728451161	0.017171204023711	0.00749322324947399	0	0	0.0438063437114548	0.0337861577144479	0.0865794634526589	0.0857819506289433	0.123405241826051	0.010036622512563	0	0.0300500182033788	0	0	0.0115338031706412	0.03	0.176588206972062	1.02196841175257	FALSE
TCGA-86-7954-01A	0.0519572516606101	0	0.00747729726446918	0.021583220809225	0	0.224713742019555	0	0.0411318436159604	0.000244655342889631	0	0	0.0325353846561779	0.0216790352639767	0.0433868931910098	0.249300126579563	0.207492091908701	0	0.00985500647583752	0.088643451212025	0	0	0	0	0.422967309826601	0.909160854687861	FALSE
TCGA-78-8662-01A	0.100760749590923	0	0.0335318735877335	0.0424720586542787	0	0.199343581301398	0	0.109803471972414	0	0	0.0344473567802671	0.0250634074914327	0.0513289393226896	0.102443940294641	0.0960843147072117	0.18916101148792	0	0.0134397271918169	0	0	0.0021195676172735	0	0.31	0.0374908793566592	1.0705684613538	FALSE
TCGA-MP-A4TF-01A	0.218976158116605	0	0.21369429917205	0.0829007255831484	0	0.135053047877895	0.0056159371059445	0.00985940254102711	0.003401258739127	0	0	0	0.00935156041982173	0.180805785790544	0.0449627489504745	0	0	0.0496895853029024	0	0.0205902966711835	0	0.0250991937292773	0	0.462391839872926	0.890271126270728	FALSE
TCGA-MP-A4T7-01A	0.0310299657503506	0.013391810081857	0.00283110161597723	0.0487756503555519	0	0.192149868965648	0	0.0489094011461424	0.0105522564150687	0	0.0363835704033082	0.0160753247781089	0.0209256642979499	0.0908320265781513	0.0337360547695303	0.239795781732629	0	0.172154665500346	0.0383526674831611	0	0	0.0041041901262194	0.02	0.227258279286653	0.992080795265346	FALSE
TCGA-44-5645-01A	0.107487068172843	0	0.00787972054922262	0.014057256501151	0	0.339280786921247	0.00371595932855846	0	0	0	0	0.0176442811591181	0.0681144952338147	0.0788805300665952	0.0282669409913792	0.122000593913766	0.121811897550603	0.0252067521060249	0.0656537175056767	0	0	0	0.01	0.284476280265118	0.963728152818842	FALSE
TCGA-55-8506-01A	0.019376002629004	0.00286919472005973	0.0182115460612756	0.0355840971213109	0	0.159913460461689	0.0246075731401717	0.0319164976005665	0	0	0.066569831270405	0	0.0314880399776334	0.331046928598372	0.0652029432243392	0.156402737735075	0	0	0.0568111474600987	0	0	0	0.03	0.139005867443209	1.03981906382473	FALSE
TCGA-50-6591-01A	0.0130646562736996	0	0	0.0194872515224832	0	0.398410452051839	0	0.0258534499602255	0.000936523706837724	0	0.000784847284712023	0.00526175726277281	0	0.502091118793723	0	0	0	0	0	0.027933288205512	0	0.00617665493819491	0.2	0.0537095127882807	1.12509377273811	FALSE
TCGA-L4-A4E6-01A	0.0624018097467276	0	0.0125408875888387	0.00586296769531504	0	0.182197450367242	0	0	0	0	0.0273297881308602	0	0.0158939742816825	0.243891191657072	0.0130290218916394	0.393759497605216	0	0.00823349165028905	0.0344641306157619	0	0	0.000395788769355149	0.01	0.356142772618106	0.943149694317739	FALSE
